AcceptedName,Grass_Forb,Grass_Forb_Legume,SeedsPer.oz,SeedsPer.pkt,PacketCost,OneOzCost,OneLbCost,FullSun,PartShade,Shade,Wet,WetMesic,Mesic,DryMesic,Dry,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Conservatism
Agalinis_purpurea,F,F,440000,300,2.5,60,960,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,6
Agalinis_tenuifolia,F,F,800000,1000,2.5,60,960,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,3
Agastache_foeniculum,F,F,90000,1000,2.5,10,150,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,6
Agastache_nepetoides,F,F,90000,1000,2.5,20,300,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,5
Agastache_scrophulariifolia,F,F,93000,1000,2.5,20,320,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,5
Agrostis_hyemalis,G,G,850000,500,2.5,10,160,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,3
Allium_canadense,F,F,560,60,2.5,6,96,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,3
Allium_cernuum,F,F,7600,300,2.5,15,240,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,7
Allium_stellatum,F,F,11000,300,2.5,15,240,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,10
Amorpha_canescens,F,L,16000,150,2.5,15,225,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,10
Andropogon_gerardii,G,G,10000,500,2.5,3,12,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,5
Anemone_canadensis,F,F,8000,200,2.5,40,600,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,4
Anemone_cylindrica,F,F,26000,200,2.5,40,640,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,8
Anemone_virginiana,F,F,28000,300,2.5,50,800,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,5
Antennaria_neglecta,F,F,275000,300,2.5,200,3200,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,3
Antennaria_plantaginifolia,F,F,275000,300,2.5,200,3200,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,4
Apocynum_cannabinum,F,F,20000,75,2.5,20,320,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,6
Arnoglossum_atriplicifolium,F,F,6000,100,2.5,10,150,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,8
Arnoglossum_plantagineum,F,F,4700,100,2.5,60,960,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,10
Artemisia_ludoviciana,F,F,250000,1000,2.5,40,640,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,2
Asclepias_incarnata,F,F,4800,100,2.5,12,180,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,3
Asclepias_longifolia,F,F,4300,50,2.5,80,1280,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,10
Asclepias_sullivantii,F,F,4500,55,2.5,30,480,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,8
Asclepias_syriaca,F,F,4000,150,2.5,8,120,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0
Asclepias_tuberosa,F,F,4300,100,2.5,30,450,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,8
Asclepias_verticillata,F,F,11000,100,2.5,50,800,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1
Astragalus_canadensis,F,L,17000,500,2.5,6,90,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,8
Baptisia_alba,F,L,1700,75,2.5,10,150,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,8
Baptisia_australis,F,L,75,"1,500",2.5,8,120,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,6
Baptisia_bracteata,F,L,1400,10,2.5,50,750,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,10
Bidens_frondosa,F,F,5000,200,2.5,12,180,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1
Blephilia_ciliata,F,F,400000,1000,2.5,80,1280,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,7
Bouteloua_curtipendula,G,G,6000,500,2.5,3,18,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,8
Brickellia_eupatorioides,F,F,32000,200,2.5,10,150,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,6
Bromus_kalmii,G,G,8000,500,2.5,4,60,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,10
Callirhoe_triangulata,F,F,5400,50,2.5,60,900,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,8
Camassia_scilloides,F,F,4200,40,2.5,15,225,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,7
Campanula_rotundifolia,F,F,900000,1000,2.5,200,3000,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,10
Carex_annectens,G,G,90000,500,2.5,20,300,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,3
Carex_bicknellii,G,G,17000,500,2.5,20,320,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,8
Carex_blanda,G,G,12500,75,2.5,30,450,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1
Carex_brevior,G,G,29000,750,2.5,10,150,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,3
Carex_crawfordii,G,G,0,115000,2.5,8,128,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,3
Carex_cristatella,G,G,58000,750,2.5,30,450,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,4
Carex_molesta,G,G,25000,300,2.5,12,180,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,2
Carex_normalis,G,G,25000,400,2.5,25,375,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,5
Carex_pensylvanica,G,G,30000,75,2.5,300,4800,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,5
Carex_scoparia,G,G,84000,1000,2.5,12,180,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,5
Carex_tenera,G,G,20000,150,2.5,60,900,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,8
Castilleja_coccinea,F,F,300000,300,2.5,200,3200,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,10
Castilleja_sessiliflora,F,F,200000,500,2.5,50,800,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,10
Chamaecrista_fasciculata,F,L,2700,250,2.5,3,30,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,4
Cirsium_discolor,F,F,6400,50,2.5,40,640,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,3
Coreopsis_lanceolata,F,F,20000,250,2.5,5,75,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,8
Coreopsis_palmata,F,F,10000,200,2.5,50,750,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,10
Coreopsis_tripteris,F,F,14000,200,2.5,20,300,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,5
Crotalaria_sagittalis,F,L,4500,200,2.5,20,320,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,8
Dalea_candida,F,L,19000,750,2.5,3,45,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,10
Dalea_purpurea,F,L,15000,750,2.5,3,45,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,9
Danthonia_spicata,G,G,25000,400,2.5,30,480,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,3
Delphinium_carolinianum,F,F,41000,200,2.5,150,2250,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,10
Desmanthus_illinoensis,F,L,4200,250,2.5,3,30,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,3
Desmodium_canadense,F,L,5500,250,2.5,12,180,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,4
Desmodium_illinoense,F,L,4300,150,2.5,12,180,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,9
Dodecatheon_meadia,F,F,60000,200,2.5,80,1200,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,6
Doellingeria_umbellata,F,F,67000,400,2.5,30,450,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,8
Echinacea_pallida,F,F,5200,200,2.5,10,150,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,10
Echinacea_purpurea,F,F,6600,300,2.5,3,30,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,10
Eleocharis_compressa,G,G,85000,800,2.5,140,2240,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,9
Elymus_canadensis,G,G,5200,1000,2.5,3,15,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,4
Elymus_trachycaulus,G,G,0,6900,2.5,3,48,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,8
Elymus_villosus,G,G,200,5500,2.5,10,150,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,5
Elymus_virginicus,G,G,4200,1000,2.5,3,12,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,3
Eryngium_yuccifolium,F,F,7500,250,2.5,6,90,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,9
Eupatorium_altissimum,F,F,50000,300,2.5,10,160,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
Eupatorium_purpureum,F,F,400,42000,2.5,15,225,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,6
Euphorbia_corollata,F,F,8000,75,2.5,60,960,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,4
Euthamia_graminifolia,F,F,350000,1000,2.5,40,600,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,4
Fragaria_virginiana,F,F,83000,100,2.5,300,4500,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
Galium_boreale,F,F,70000,400,2.5,60,960,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,10
Gaura_biennis,F,F,2700,200,2.5,6,90,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,2
Gaura_longiflora,F,F,2000,200,2.5,6,90,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,2
Gentiana_alba,F,F,140000,1000,2.5,12,192,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,9
Gentiana_andrewsii,F,F,280000,750,2.5,80,1280,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,9
Gentianella_quinquefolia,F,F,180000,400,2.5,80,1280,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,8
Gentianopsis_crinita,F,F,200000,200,2.5,220,3520,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,9
Geranium_maculatum,F,F,5000,45,2.5,80,1280,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,5
Geum_aleppicum,F,F,20000,200,2.5,10,150,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,3
Geum_triflorum,F,F,27000,100,2.5,150,2400,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,10
Helenium_autumnale,F,F,130000,500,2.5,10,150,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,5
Helianthus_giganteus,F,F,10000,100,2.5,40,640,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,10
Helianthus_grosseserratus,F,F,15000,100,2.5,20,300,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,10
Helianthus_laetiflorus,F,F,100,4000,2.5,40,600,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,4
Helianthus_mollis,F,F,7000,100,2.5,30,450,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,9
Helianthus_occidentalis,F,F,14000,100,2.5,40,640,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,10
Helianthus_pauciflorus,F,F,4000,100,2.5,40,600,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,9
Heliopsis_helianthoides,F,F,6300,500,2.5,3,45,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,7
Heracleum_maximum,F,F,2600,100,2.5,4,60,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,5
Heuchera_richardsonii,F,F,700000,750,2.5,50,800,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,10
Hibiscus_lasiocarpos,F,F,0,2200,2.5,5,80,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,4
Hierochloe_odorata,G,G,20000,50,2.5,200,3200,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,10
Hordeum_jubatum,G,G,12000,200,2.5,15,240,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0
Hypericum_majus,F,F,3000000,2000,2.5,60,960,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,5
Hypericum_punctatum,F,F,580000,1000,2.5,70,1120,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,4
Hypericum_sphaerocarpum,F,F,34000,200,2.5,60,960,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,7
Impatiens_capensis,F,F,4000,50,2.5,80,1280,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,4
Ionactis_linariifolia,F,F,100,35000,2.5,200,3200,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,10
